rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/clip_range,train/approx_kl,train/clip_fraction,train/value_loss,train/loss,train/policy_gradient_loss,train/std,train/entropy_loss,train/n_updates,train/learning_rate,train/explained_variance
-91.63138580322266,288.0,1967,39,77824,19,0.2,0.0046896283,0.0176513671875,39.427228164672854,18.279787063598633,-0.0025180954311508686,0.9897774457931519,-7.039479148387909,180,0.0003,0.7697091698646545
-91.6604232788086,288.0,1625,50,81920,20,0.2,0.006511252,0.024462890625,38.24043235778809,18.05824851989746,-0.003697186539648101,0.9922736883163452,-7.047368121147156,190,0.0003,0.7352932691574097
-91.71003723144531,288.0,1625,52,86016,21,0.2,0.0034055426,0.0045166015625,27.30350947380066,12.248001098632812,-0.0015998067101463675,0.9915286302566528,-7.055826425552368,200,0.0003,0.8185957670211792
-91.74979400634766,288.0,1641,54,90112,22,0.2,0.004924825,0.02197265625,24.986967945098876,11.729413032531738,-0.0025070286850677804,0.9904718399047852,-7.047333025932312,210,0.0003,0.810363233089447
-91.73650360107422,288.0,1659,56,94208,23,0.2,0.0063637476,0.030810546875,35.89505820274353,15.985344886779785,-0.003780648743850179,0.990196704864502,-7.0460702776908875,220,0.0003,0.8176252245903015
-91.77745819091797,288.0,1685,58,98304,24,0.2,0.0046552895,0.0146484375,33.95548672676087,16.546466827392578,-0.0024059169925749304,0.9909824132919312,-7.046380639076233,230,0.0003,0.8065840601921082
-91.76873779296875,288.0,1714,59,102400,25,0.2,0.0049752826,0.0202880859375,32.70158867835998,15.374496459960938,-0.002929163338558283,0.9888655543327332,-7.045912253856659,240,0.0003,0.8174604177474976
-91.8446273803711,288.0,1740,61,106496,26,0.2,0.004378584,0.027783203125,19.82089171409607,9.95703125,-0.0039970784215256575,0.990866482257843,-7.041816020011902,250,0.0003,0.8647962212562561
-91.81002044677734,288.0,1770,62,110592,27,0.2,0.0044795065,0.027783203125,27.182152795791627,12.661526679992676,-0.0031790469540283082,0.9896388053894043,-7.046229648590088,260,0.0003,0.8535905480384827
-91.7583236694336,288.0,1798,63,114688,28,0.2,0.0053355894,0.040185546875,29.85063214302063,13.185111999511719,-0.004153165206662379,0.9887036085128784,-7.040000808238983,270,0.0003,0.867142379283905
-91.67037200927734,288.0,1819,65,118784,29,0.2,0.004819166,0.0266845703125,27.88218116760254,12.198466300964355,-0.0028410596452886237,0.9908515214920044,-7.041109108924866,280,0.0003,0.8374818563461304
